2020-10-01 02:44:09.2786 DEBUG  Debug message from the controller
2020-10-01 02:44:09.3287 ERROR Error message from the controller
2020-10-01 02:44:09.3456 INFO Error message from the Controller
2020-10-01 02:44:09.3582 WARN Warning message from the controller
2020-10-01 02:53:15.7204 INFO Return all the owners from database
2020-10-01 03:01:16.0348 INFO Return all the owners from database
2020-10-01 03:09:06.5670 INFO Return all the owners from database
2020-10-01 03:09:06.5670 INFO Return all the owners from database
2020-10-01 03:09:06.9036 INFO Return all the owners from database
2020-10-01 03:09:45.7216 INFO Return all the owners from database
2020-10-01 03:12:45.7508 INFO Return all the owners from database
2020-10-01 12:38:16.2721 INFO Return all the owners from database
2020-10-01 12:38:16.5974 INFO Return all the owners from database
2020-10-01 14:20:47.5458 INFO Return all the owners from database
2020-10-01 14:20:49.2343 INFO Return all the owners from database
2020-10-01 14:20:50.5929 INFO Return all the owners from database
2020-10-01 14:20:51.6000 INFO Return all the owners from database
2020-10-01 14:38:12.5741 INFO Return all the owners from database
